Id;WorkItemType;Title;Assigned To;State;Tags;
15504;Requirement;Melhorias no Processo de Estimativa;paulo.pimenta.filho;Active;null
15505;Task;Melhorar Inventário da PE;paulo.pimenta.filho;Active;null
15510;Task;Migrar do SVN para o GIT;fabiana.h.uchida;Active;null
15512;Requirement;Treinamentos Internos;paulo.pimenta.filho;Active;null
15516;Task;Melhorar o controle de status das IAs;paulo.pimenta.filho;Active;null
15517;Task;Melhorar gerenciamento do status das SDNs;tassio.h.gouveia;Active;null
15518;Task;Melhorar uso da ferramenta no lançamento de horas e status;paulo.pimenta.filho;Active;null
15520;Task;Controlar e garantir o uso do share point;paulo.pimenta.filho;Active;null
15522;Task;Analise project/alocação para identificar melhorias na produtividade;tassio.h.gouveia;Active;null
15523;Task;Fazer analise de custo/beneficio em outros projetos/equipes;fabiana.h.uchida;Active;null
15613;Task;Envio do email automático pelo VSTS;pedro.naressi;Active;null
15614;Task;Entender com equipe de PMO sobre os indicadores;paulo.pimenta.filho;Active;null
15615;Task;Analise project/alocação para identificar melhorias na produtividade;paulo.pimenta.filho;Active;null
15617;Task;Automatizar o processo de entrega;pedro.naressi;Active;null
15619;Requirement;Automação;thiago.barreto;Active;null
15620;Task;Assessment de automação de tarefas/desenvolvimento/testes;thiago.barreto;Active;null
15621;Requirement;Reconhecimento;jailson.pereira;Active;null
15622;Task;Assessment de como reconhecer as pessoas e como medir as mais produtivas;jailson.pereira;Active;null
15628;Task;Migração Ambiente da TIM - Analise de Custo;paulo.pimenta.filho;Active;null
15630;Task;Plugins do TFS para substituir o pweb-util;ygor.bandin.satiro;Active;null
16156;Task;[WEB0113][Batch Carga Inclusão Perfil] Automatizar PTE;gustavo.a.romero;Active;null
16437;Task;[WEB0121][200 dias][OAG] Consulta Status Pedido - TS;luis.o.oliveira;Active;null
16450;Task;[WEB0121][200 dias][OAG] Detalhes Pedido - Coding;luis.o.oliveira;Active;null
16451;Task;[WEB0121][200 dias][OAG] Detalhes Pedido - PTE;luis.o.oliveira;Active;null
17180;Task;[WEB0120][Portal GU] Gerenciamento de Perfil - PTE Bug Fixing;gustavo.a.romero;Active;null
17189;Epic;[WEB0156][TIR#330968][OAM] Reconhecimento do Aparelho (finger print) no processo de autenticação;daniel.da.s.resende;Active;null
17242;Task;[WEB0120] Suporte a Equipe;thiago.barreto;Active;null
17243;Task;[WEB0120] Suporte a Equipe;gustavo.a.romero;Active;null
17486;Feature;[WEB0146][TIR#329554];angelo.bernardes;Active;null
17524;Task;[WEB0071] Unit Test;karolinny.a.silva;Active;null
17529;Task;[WEB0071] Coordenação DSV;pedro.naressi;Active;null
17558;Task;[WEB0072] Fluxos Alternativos - Destaque Education;anderson.renoir;Active;null
17574;Task;[WEB0072] CF - Portal;anderson.renoir;Active;null
17583;Task;[WEB0072] CUT - Novo parâmetro URL;karolinny.a.silva;Active;null
19134;Epic;[WEB0176][TIR#334426][Britney][Fase 2] Substituição do serviço de Profiling e descontinuação da API GET /v2/packages/data/eligible;pedro.naressi;Active;null
19226;Task;[WEB0143] Coodenação DSV;gustavo.a.romero;Active;null
19227;Task;[WEB0143] Suporte equipe;gustavo.a.romero;Active;null
19429;Epic;[WEB0184][TIR#334958][DM17001896] [Site TIM][Consulta Status Portabilidade] -Adequação de serviço e layout;ygor.bandin.satiro;Active;null
20186;Bug;WEB0072.BUG006 - Botões para visualizar fatura não estão funcionando;Arthur R. Oliveira;Active;null
20328;Feature;[WEB0163][Grupo Internet][Consulta de servicos ativos];gustavo.a.romero;Active;null
20521;Task;Documento Funcional;Renato Nunes Moraes;Active;null
20531;Task;Documento Funcional;Renato Nunes Moraes;Active;null
20591;Task;Documento Funcional;rodolfo.leme.bertozo;Active;null
20592;Task;Modelagem REST;fabricio.borgatto;Active;null
21092;Task;UT_ValidacaoCaptcha;karolinny.a.silva;Active;WEB0178
21095;Task;DSV_Simulador;allys.dantas;Active;WEB0178
21114;Task;UT_WS_2;Arthur R. Oliveira;Active;WEB0115
21131;Task;DSV_Review;fabiana.h.uchida;Active;WEB0005
21138;Task;UT_WS;joelmir.leite.cruz;Active;WEB0005
21145;Task;PTE_WS1;joelmir.leite.cruz;Active;WEB0005
21150;Task;DSV_REGRAS;joelmir.leite.cruz;Active;WEB0005
21164;Task;DSV_WS_2;allys.dantas;Active;WEB0203
21450;Task;DSV_Review_3_TIM_Components;fabiana.h.uchida;Active;WEB0115
22002;Epic;[WEB0215][INF#337455][Meu TIM][TIM] Levantamento de todos as aplicações que ainda utilizam Java Locator no Meu TIM e TIM;paulo.pimenta.filho;Active;null
22631;Bug;Sistema apresenta mensagem nula quando a tag é friendlyDescription é excluida.;angelo.bernardes;Active;null
22633;Bug;Sistema apresenta mensagem de nulo quando a tag friendlyDescription for excluida.;angelo.bernardes;Active;null
22891;Task;CUT - WEM/DisplayView (adequação protótipo);anderson.renoir;Active;null
23544;Epic;[WEB0241][TIR#340445][Meu TIM][Cancelamento Canais Texto] Meu TIM;thiago.barreto;Active;null
23844;Requirement;[WEB0169][TIR#333355][DM17002174][Melhorias Contínuas][MEU TIM][Alterar Tipo de Conta] Utilizar CreateInterctionRest na geração de protocolo;thiago.barreto;Active;null
25019;Epic;[WEB0262][TIR#342008] [Britney Fase2] Problemas de protótipo quebram layout do Box Progressão de Consumo;pedro.naressi;Active;null
25288;Task;[WEB0139] [ Integração sistema gestão de atendimentos - REST SENHA GFA] FD;gustavo.a.romero;Active;null
25319;Task;[WEB0139] [Novo Extrator de IMEIs F1] CF;enay.zuin.bispo;Active;null
25353;Task;[WEB0139] [Adequações para Loja Própria e Revenda F2 - REST CONSULTA IMEI] FD;gustavo.a.romero;Active;null
25379;Task;[WEB0139] [Adequações para Loja Própria e Revenda F2 - Portal GU] PTE - Review;thiago.barreto;Active;null
25381;Task;[WEB0139] [Adequações para Loja Própria e Revenda F2 - Portal GU] CF;enay.zuin.bispo;Active;null
25962;Epic;[CON0012][TIR#334958][DM17001896][Site Tim] Consulta Status Portabilidade - Adequação de serviço e layout;paulo.pimenta.filho;Active;null
27509;Test Plan;WEB_VAS Team_Stories_SDN;william.shinji.assao;Active;null
27512;Shared Steps;Logar no Portal Meu TIM;william.shinji.assao;Active;null
28208;Epic;[WEB0287][TIR#345271][AcessControl] Autenticação para o netflix;daniel.da.s.resende;Active;null
28531;Task;[WEB0139] [Adequações para Loja Própria e Revenda F2 - Portal GU] PTE;enay.zuin.bispo;Active;null
29641;Epic;[WEB0295][TIR#347153][Britney - Envio de Protocolo] Inclusão do fluxo de enviar protocolo por email;Thiago S. Batista;Active;null
30010;Requirement;[WEB0297] [WSO2] Tripla convivência Validação JWT;Zubelli, Fabricio S.;Active;null
30106;Feature;[WEB0200][TIR#336192][DM7001901][Meu TIM] Personalização da home atraves do reconhecimento por MSISDN;EVELYN S L DA SILVA;Active;null
30303;Task;Coding;e.de.azevedo.filho;Active;null
30355;Test Plan;WEB_VAS Team_Stories_WEB_VAS;silvio.r.leitao;Active;null
